batter_id,bowler_id,total_runs_scored,total_balls_faced,total_encounters,dot_balls,boundary_count,total_dismissals,strike_rate,batting_average,bowling_strike_rate
51880,376116,72,53,9,27,11,4,135.85,18.0,13.25
32242,26421,32,45,9,24,3,4,71.11,8.0,11.25
6683,29264,84,71,9,19,9,1,118.31,84.0,71.0
425943,625371,68,38,9,11,11,2,178.95,34.0,19.0
32102,230558,32,50,9,32,3,2,64.0,16.0,25.0
32498,47492,82,46,9,14,13,2,178.26,41.0,23.0
604527,793463,95,76,9,31,14,2,125.0,47.5,38.0
51880,230558,65,68,9,35,8,2,95.59,32.5,34.0
446763,481896,34,29,9,16,6,4,117.24,8.5,7.25
253802,330902,67,48,9,15,8,2,139.58,33.5,24.0
425943,475281,40,31,9,13,6,1,129.03,40.0,31.0
51880,49758,57,71,9,41,8,1,80.28,57.0,71.0
33335,625383,50,37,9,16,7,2,135.14,25.0,18.5
253802,35280,62,37,9,11,7,2,167.57,31.0,18.5
28235,30102,49,48,9,23,8,4,102.08,12.25,12.0
234675,430246,31,30,9,10,2,2,103.33,15.5,15.0
230559,439952,38,26,9,8,6,1,146.15,38.0,26.0
267192,625383,68,56,9,18,6,3,121.43,22.67,18.67
1151278,326016,101,58,9,24,19,0,174.14,101.0,0.0
1070173,234675,81,57,9,13,9,1,142.11,81.0,57.0
37737,326016,29,38,9,19,2,1,76.32,29.0,38.0
28235,32685,56,46,9,20,9,2,121.74,28.0,23.0
32242,390484,45,37,9,14,6,3,121.62,15.0,12.33
32242,438362,34,55,9,33,3,3,61.82,11.33,18.33
325026,32966,76,45,9,13,11,3,168.89,25.33,15.0
446507,1175441,86,53,9,11,12,3,162.26,28.67,17.67
1070173,390481,64,47,9,10,6,1,136.17,64.0,47.0
604302,793463,46,40,9,16,3,2,115.0,23.0,20.0
33335,56143,47,41,9,15,5,2,114.63,23.5,20.5
277916,30288,62,52,9,17,6,3,119.23,20.67,17.33
44828,26421,72,68,9,18,6,1,105.88,72.0,68.0
276298,430246,99,48,9,16,16,1,206.25,99.0,48.0
35582,32685,30,43,9,28,4,3,69.77,10.0,14.33
28081,625371,42,31,9,12,5,1,135.48,42.0,31.0
35582,30102,42,40,9,17,5,2,105.0,21.0,20.0
425943,26421,76,57,9,14,7,2,133.33,38.0,28.5
28081,277912,82,44,9,14,12,2,186.36,41.0,22.0
