player_id,player_name,link,player_google_links,player_wikipedia_link,preferenced_player_name,full name,batting,bowling,,,nationality,role
279810, WP Saha             , https://www.espncricinfo.com/cricketers/wp-saha-279810              , https://www.google.com/search?q=site:wikipedia.org+WP Saha+cricket+Player             , https://en.wikipedia.org/wiki/Wriddhiman_Saha                       , Wriddhiman Saha        , Wriddhiman Prasanta Saha                           , Right-handed, Right-arm off-spin                        ,,, India (2010–2021),Wicketkeeper-batsman
290727, R Dhawan            , https://www.espncricinfo.com/cricketers/r-dhawan-290727             , https://www.google.com/search?q=site:wikipedia.org+R Dhawan+cricket+Player            , https://en.wikipedia.org/wiki/Rishi_Dhawan                          , Rishi Dhawan           ,                                                    , Right-handed, Right-arm medium-fast                     ,,, India (2016),All-rounder
299572, Sikandar Raza       , https://www.espncricinfo.com/cricketers/sikandar-raza-299572        , https://www.google.com/search?q=site:wikipedia.org+Sikandar Raza+cricket+Player       , https://en.wikipedia.org/wiki/Sikandar_Raza                         , Sikandar Raza          , Sikandar Raza Butt                                 , Right-handed, Right-arm off break                       ,,, Zimbabwe (2013–present),All-rounder
318845, RR Rossouw          , https://www.espncricinfo.com/cricketers/rr-rossouw-318845           , https://www.google.com/search?q=site:wikipedia.org+RR Rossouw+cricket+Player          , https://en.wikipedia.org/wiki/Rilee_Rossouw                         , Rilee Rossouw          , Rilee Roscoe Rossouw                               , Left-handed , Right-arm off break                       ,,, South Africa (2014–2023),Top-order
340854, Harpreet Singh      , https://www.espncricinfo.com/cricketers/harpreet-singh-340854       , https://www.google.com/search?q=site:wikipedia.org+Harpreet Singh+cricket+Player      , https://en.wikipedia.org/wiki/Harpreet_Singh_Bhatia                 , Harpreet Singh         , Harpreet Singh Bhatia                              , Left-handed , Right-arm medium                          ,,, ,Batter
344580, S Gopal             , https://www.espncricinfo.com/cricketers/s-gopal-344580              , https://www.google.com/search?q=site:wikipedia.org+S Gopal+cricket+Player             , https://en.wikipedia.org/wiki/Shreyas_Gopal                         , Shreyas Gopal          , Ramswamy Shreyas Gopal                             , Right-handed, Right-arm leg break                       ,,, ,All-rounder
352048, Gulbadin Naib       , https://www.espncricinfo.com/cricketers/gulbadin-naib-352048        , https://www.google.com/search?q=site:wikipedia.org+Gulbadin Naib+cricket+Player       , https://en.wikipedia.org/wiki/Gulbadin_Naib                         , Gulbadin Naib          ,                                                    , Right-handed, Right-arm fast-medium                     ,,, Afghanistan (2011–present),Batter
376116, UT Yadav            , https://www.espncricinfo.com/cricketers/ut-yadav-376116             , https://www.google.com/search?q=site:wikipedia.org+UT Yadav+cricket+Player            , https://en.wikipedia.org/wiki/Umesh_Yadav                           , Umesh Yadav            , Umeshkumar Tilak Yadav                             , Right-handed, Right-arm fast                            ,,, India (2010–2023),Bowler
379887, LB Williams         , https://www.espncricinfo.com/cricketers/lb-williams-379887          , https://www.google.com/search?q=site:wikipedia.org+LB Williams+cricket+Player         , https://en.wikipedia.org/wiki/Lizaad_Williams                       , Lizaad Williams        , Lizaad Buyron Williams                             , Left-handed , Right arm medium-fast                     ,,, South Africa,Bowler
381743, DJ Mitchell         , https://www.espncricinfo.com/cricketers/dj-mitchell-381743          , https://www.google.com/search?q=site:wikipedia.org+DJ Mitchell+cricket+Player         , https://en.wikipedia.org/wiki/Daryl_Mitchell_(New_Zealand_cricketer), Daryl Mitchell         , Daryl Joseph Mitchell                              , Right-handed, Right-arm medium                          ,,, New Zealand (2019–present),Batter
