Player_ID,Player,Full_Name,Born,Current_Age,Bats,Bowls,Matches,Died
3908,C R Brathwaite,Carlos Ricardo Brathwaite,"18th July, 1988",36 years 317 days,Right Handed,Right Arm Fast Medium,16 (2016-2019),
3166,D J J Bravo,Dwayne J J Bravo,"7th October, 1983",41 years 236 days,Right Handed,Right Arm Medium,161 (2008-2022),
3703,D M Bravo,Darren Michael Bravo,"6th February, 1989",36 years 114 days,Left Handed,Right Arm Medium Fast,1 (2017-2017),
7453,M P Breetzke,Matthew Paul Breetzke,"3rd November, 1998",26 years 209 days,Right Handed,,1 (2025-),
6517,D Brevis,Dewald Brevis,"29th April, 2003",22 years 32 days,Right Handed,Right Arm Leg Break,16 (2022-),
6470,H C Brook,Harry Cherrington Brook,"22nd February, 1999",26 years 98 days,Right Handed,Right Arm Medium,11 (2023-2023),
4062,J J Bumrah,Jasprit J Bumrah,"6th December, 1993",31 years 176 days,Right Handed,Right Arm Fast,143 (2013-),
7644,N Burger,Nandre Burger,"11th August, 1995",29 years 293 days,Left Handed,Left Arm Medium Fast,6 (2024-),
3888,J C Buttler,Joseph C Buttler,"8th September, 1990",34 years 265 days,Right Handed,,121 (2016-),
4726,A T Carey,Alex Tyson Carey,"27th August, 1991",33 years 277 days,Left Handed,Left Arm Medium Fast,3 (2020-2020),
4394,K C Cariappa,Konganda Charamanna Cariappa,"13th April, 1994",31 years 48 days,Right Handed,Right Arm Leg Break,11 (2015-2019),
4169,L A  Carseldine,Lee A Carseldine,"17th November, 1975",49 years 195 days,Left Handed,Left Arm Medium,5 (2009-2009),
4063,Y S Chahal,Yuzvendra Singh Chahal,"23rd July, 1990",34 years 312 days,Right Handed,Right Arm Leg Break,172 (2013-),
4557,D L Chahar,Deepak Lokandersingh Chahar,"7th August, 1992",32 years 297 days,Right Handed,Right Arm Medium,95 (2016-),
4670,R D Chahar,Rahul Desraj Chahar,"4th August, 1999",25 years 300 days,Right Handed,Right Arm Leg Break,79 (2017-),
4380,P V D Chameera,Pathira Vasan Dushmantha Chameera,"11th January, 1992",33 years 140 days,Right Handed,Right Arm Fast,19 (2022-),
4030,U B T Chand,Unmukt B T  Chand,"26th March, 1993",32 years 66 days,Right Handed,Right Arm Off Break,21 (2011-2016),
1979,S Chanderpaul,Shivnarine Chanderpaul,"16th August, 1974",50 years 288 days,Left Handed,Right Arm Leg Break,3 (2008-2008),
4091,A  Chandila,Ajit Chandila,"5th December, 1983",41 years 177 days,Right Handed,Right Arm Off Break,12 (2012-2013),
